product,revenue,sales,profits,description,region,date
Widget C,78602.85,114,30144.3,Reliable widget for everyday applications,Asia,2024-04-22
Gadget E,71078.53,198,14866.6,High-performance device for enterprise use,Asia,2024-05-14
Gadget F,11286.67,107,2498.18,High-performance device for enterprise use,Europe,2024-12-18
Widget J,36778.9,156,10378.16,Reliable widget for everyday applications,Asia,2024-06-12
Gadget D,53613.18,187,20955.15,Reliable widget for everyday applications,Asia,2024-04-24
Gadget A,29232.11,77,6572.94,High-quality widget for industrial use,South America,2024-11-24
Widget G,59788.22,178,23603.46,Portable gadget with long battery life,North America,2024-05-25
Gadget A,72139.95,53,28703.58,High-quality widget for industrial use,South America,2024-07-28
Widget G,74301.7,77,28798.3,Premium gadget with advanced features,North America,2024-12-26
Widget B,14503.05,133,5577.16,Eco-friendly product for sustainable markets,Australia,2024-05-04
Widget B,64925.36,51,15360.74,Durable widget for heavy machinery,North America,2024-07-06
Widget I,71434.08,104,21155.56,Durable widget for heavy machinery,North America,2024-02-09
Gadget B,21180.74,54,7183.04,Reliable widget for everyday applications,Australia,2024-12-10
Widget J,49980.71,185,18855.72,High-performance device for enterprise use,Australia,2024-11-28
Gadget A,39882.47,68,15278.33,Compact device for consumer electronics,Australia,2024-12-04
Widget I,54381.14,91,20914.15,Innovative gadget with AI integration,Australia,2024-03-22
Gadget H,21436.63,110,4568.62,Premium gadget with advanced features,Australia,2024-10-21
Widget F,62745.33,131,13866.1,Eco-friendly product for sustainable markets,South America,2024-10-22
Widget J,28664.99,170,9203.6,Cost-effective solution for small businesses,South America,2024-06-01
Widget J,94458.09,96,36870.5,Cost-effective solution for small businesses,Australia,2024-02-14
Gadget D,88671.14,159,34892.0,Compact device for consumer electronics,South America,2024-12-26
Gadget A,48204.12,123,10939.55,Compact device for consumer electronics,North America,2024-08-07
Gadget C,19295.39,197,5053.03,Premium gadget with advanced features,South America,2024-08-12
Gadget D,25480.48,133,9895.22,Eco-friendly product for sustainable markets,North America,2024-05-04
Gadget I,46393.74,74,17213.79,Portable gadget with long battery life,South America,2024-05-03
Gadget B,42702.96,86,16964.8,High-quality widget for industrial use,South America,2024-05-11
Widget I,21345.7,107,7672.54,Compact device for consumer electronics,South America,2024-03-17
Widget D,86330.02,141,30058.71,Innovative gadget with AI integration,Asia,2024-07-03
Widget G,11395.34,128,4337.11,Cost-effective solution for small businesses,Europe,2024-08-19
Gadget B,66065.58,106,20771.28,Reliable widget for everyday applications,Asia,2024-09-20
Widget J,58258.29,172,15403.58,Compact device for consumer electronics,South America,2024-02-02
Gadget I,46090.61,199,11922.49,Eco-friendly product for sustainable markets,Europe,2024-03-29
Gadget B,60195.08,144,21312.51,Compact device for consumer electronics,Europe,2024-01-31
Gadget F,56439.01,153,11542.55,Premium gadget with advanced features,Asia,2024-04-05
Gadget I,76757.39,116,29273.87,High-quality widget for industrial use,Australia,2024-10-02
Gadget F,24017.48,134,7225.39,Premium gadget with advanced features,North America,2024-12-07
Widget D,10257.34,157,2887.35,Compact device for consumer electronics,South America,2024-05-24
Widget H,83885.69,73,21529.82,Premium gadget with advanced features,North America,2024-02-08
Gadget B,51686.89,165,16948.02,Cost-effective solution for small businesses,Europe,2024-02-24
Widget B,59710.68,89,20374.61,High-quality widget for industrial use,North America,2024-09-10
Gadget G,47107.09,147,9421.78,Eco-friendly product for sustainable markets,Asia,2024-12-28
Gadget J,94425.67,51,26857.48,Portable gadget with long battery life,South America,2024-03-18
Widget A,70549.9,158,18501.76,Eco-friendly product for sustainable markets,Europe,2024-09-14
Gadget E,79017.86,61,24152.17,Premium gadget with advanced features,Europe,2024-03-26
Widget B,98374.99,135,27432.78,Cost-effective solution for small businesses,South America,2024-10-17
Widget E,53058.01,75,14219.04,Reliable widget for everyday applications,North America,2024-03-30
Gadget D,49833.63,159,15656.75,Premium gadget with advanced features,South America,2024-07-01
Widget F,39045.52,124,10236.65,Compact device for consumer electronics,Asia,2024-03-29
Gadget D,36707.8,68,9781.65,Eco-friendly product for sustainable markets,Asia,2024-03-13
Gadget C,46861.53,152,16496.42,Reliable widget for everyday applications,South America,2024-11-02
Widget F,36956.0,57,8432.37,Eco-friendly product for sustainable markets,South America,2024-08-05
Gadget B,34965.51,177,9750.67,Portable gadget with long battery life,South America,2024-06-02
Widget C,58764.72,200,14898.06,High-quality widget for industrial use,North America,2024-10-03
Gadget G,82048.47,130,19481.6,Innovative gadget with AI integration,Australia,2024-08-08
Widget E,88797.33,115,32900.97,Compact device for consumer electronics,Australia,2024-06-28
Gadget I,62424.83,102,24101.12,Innovative gadget with AI integration,Europe,2024-08-24
Gadget D,97449.4,200,36609.25,Portable gadget with long battery life,Asia,2024-12-30
Widget A,69304.61,141,18918.35,Portable gadget with long battery life,South America,2024-12-12
Widget D,97207.97,54,28197.08,Innovative gadget with AI integration,North America,2024-04-05
Widget G,20218.64,193,6243.74,Innovative gadget with AI integration,South America,2024-12-20
Widget B,74415.09,100,17453.18,Cost-effective solution for small businesses,South America,2024-07-29
Gadget E,52832.96,98,19474.1,Durable widget for heavy machinery,North America,2024-03-08
Widget I,84772.42,155,23812.4,High-quality widget for industrial use,South America,2024-08-10
Widget E,27601.81,174,7692.18,Premium gadget with advanced features,North America,2024-12-17
Widget C,46610.01,188,16023.52,Durable widget for heavy machinery,Asia,2024-06-19
Widget G,51777.02,160,11779.87,Eco-friendly product for sustainable markets,Australia,2024-11-15
Widget A,89046.27,155,24313.94,High-quality widget for industrial use,Australia,2024-05-22
Widget E,91532.6,76,33644.83,Cost-effective solution for small businesses,South America,2024-09-24
Widget H,46841.37,179,10204.0,Compact device for consumer electronics,South America,2024-11-13
Gadget J,97050.45,121,35262.94,Premium gadget with advanced features,Australia,2024-02-29
Gadget I,48940.82,120,12561.76,High-quality widget for industrial use,Australia,2024-11-07
Gadget E,38779.16,53,12186.18,Premium gadget with advanced features,South America,2024-01-29
Widget A,17144.25,77,6103.48,Cost-effective solution for small businesses,Australia,2024-09-28
Gadget D,80822.99,112,32275.61,Compact device for consumer electronics,Asia,2024-03-31
Widget F,50811.87,80,12758.75,Cost-effective solution for small businesses,South America,2024-09-08
Widget C,92444.19,164,26625.89,Eco-friendly product for sustainable markets,North America,2024-10-21
Widget E,12391.83,92,4134.31,Cost-effective solution for small businesses,South America,2024-10-19
Gadget B,64609.63,157,22734.93,Eco-friendly product for sustainable markets,North America,2024-11-13
Widget A,15460.91,197,3472.12,Eco-friendly product for sustainable markets,Asia,2024-04-27
Gadget F,47252.01,174,10125.23,Portable gadget with long battery life,Europe,2024-02-19
Widget C,87586.19,113,23331.79,High-performance device for enterprise use,North America,2024-08-04
Widget C,71398.67,90,16583.69,High-quality widget for industrial use,Australia,2024-06-14
Gadget E,48719.87,63,10997.29,Reliable widget for everyday applications,Europe,2024-05-05
Gadget B,84232.63,190,26921.41,Eco-friendly product for sustainable markets,Australia,2024-12-01
Gadget C,96215.69,122,28650.19,High-quality widget for industrial use,Asia,2024-05-17
Gadget F,30630.79,183,12093.95,Reliable widget for everyday applications,South America,2024-01-10
Widget G,68472.58,52,20776.23,High-performance device for enterprise use,Asia,2024-06-04
Widget B,54684.56,190,12668.99,Compact device for consumer electronics,South America,2024-03-06
Widget B,11524.71,179,3341.91,Eco-friendly product for sustainable markets,Australia,2024-07-22
Widget B,46267.29,118,12505.73,Innovative gadget with AI integration,Australia,2024-03-30
Gadget F,94118.82,186,33675.08,Compact device for consumer electronics,Australia,2024-10-04
Widget H,80854.16,110,19302.07,Premium gadget with advanced features,Europe,2024-08-14
Gadget A,14496.95,163,5639.77,Innovative gadget with AI integration,Europe,2024-04-01
Widget F,68968.1,134,16584.94,Premium gadget with advanced features,Australia,2024-05-24
Widget D,60959.4,130,13692.12,Cost-effective solution for small businesses,North America,2024-07-03
Widget B,36985.89,123,9169.42,Durable widget for heavy machinery,Europe,2024-03-27
Widget G,10057.79,159,3157.9,High-quality widget for industrial use,South America,2024-07-08
Widget H,83685.8,95,27019.03,Portable gadget with long battery life,North America,2024-09-15
Gadget F,91118.17,128,28133.0,Eco-friendly product for sustainable markets,Australia,2024-12-22
Gadget J,28036.22,126,10787.9,Innovative gadget with AI integration,Australia,2024-01-15
Widget B,34729.85,194,12143.21,High-quality widget for industrial use,Europe,2024-08-11
Widget D,62465.58,74,22480.13,Eco-friendly product for sustainable markets,Australia,2024-04-27
Gadget H,47728.04,165,16795.18,Premium gadget with advanced features,Europe,2024-10-16
Widget H,51807.33,62,19347.73,Eco-friendly product for sustainable markets,Asia,2024-04-26
Gadget B,44968.16,110,10222.72,Compact device for consumer electronics,North America,2024-07-29
Gadget F,58354.61,100,14178.03,High-quality widget for industrial use,North America,2024-12-01
Widget B,65064.73,76,22239.87,Innovative gadget with AI integration,North America,2024-07-09
Gadget H,56968.8,139,13428.02,High-performance device for enterprise use,Asia,2024-01-16
Widget D,48104.5,176,17213.24,Innovative gadget with AI integration,South America,2024-04-11
Gadget I,58087.01,112,16090.18,Innovative gadget with AI integration,Asia,2024-04-01
Widget F,74727.33,61,21704.29,Reliable widget for everyday applications,Europe,2024-07-06
Widget E,30011.05,109,7092.29,Portable gadget with long battery life,South America,2024-10-03
Widget I,69276.84,180,24632.19,High-performance device for enterprise use,Asia,2024-04-10
Widget F,13573.66,55,3839.58,Durable widget for heavy machinery,Australia,2024-10-10
Gadget D,16681.02,56,5574.87,High-quality widget for industrial use,Australia,2024-07-20
Widget E,81870.83,111,30625.39,Innovative gadget with AI integration,Australia,2024-03-05
Widget J,61130.12,77,13875.5,Cost-effective solution for small businesses,Europe,2024-12-17
Widget I,34532.04,83,9256.19,Innovative gadget with AI integration,South America,2024-09-22
Gadget A,55836.48,195,13548.78,Durable widget for heavy machinery,Europe,2024-11-21
Widget H,34949.26,90,12129.84,Portable gadget with long battery life,North America,2024-08-13
Gadget F,61686.14,190,21744.28,Innovative gadget with AI integration,Australia,2024-01-28
Widget F,58201.99,81,14569.02,Durable widget for heavy machinery,North America,2024-06-22
Gadget G,99293.66,111,37101.81,Cost-effective solution for small businesses,South America,2024-09-08
Widget E,73444.77,127,19013.4,High-performance device for enterprise use,Europe,2024-04-11
Gadget D,99702.46,181,26065.02,Portable gadget with long battery life,South America,2024-08-25
Widget G,82808.57,76,17481.26,Compact device for consumer electronics,North America,2024-08-20
Widget J,91400.79,189,26453.26,Innovative gadget with AI integration,Australia,2024-01-14
Gadget I,85464.08,52,30746.04,Premium gadget with advanced features,Australia,2024-01-24
Widget C,63893.46,148,13570.55,Compact device for consumer electronics,South America,2024-07-16
Widget D,47132.2,145,15554.37,Portable gadget with long battery life,Europe,2024-09-23
Gadget G,37288.27,133,8176.41,High-performance device for enterprise use,Australia,2024-03-04
Gadget E,33401.22,89,7214.8,High-quality widget for industrial use,Australia,2024-08-20
Gadget D,18316.84,124,5340.34,Durable widget for heavy machinery,Europe,2024-04-08
Widget A,70502.1,147,26807.82,Cost-effective solution for small businesses,North America,2024-10-08
Gadget D,81763.36,82,23797.54,Compact device for consumer electronics,Asia,2024-01-19
Widget C,52977.75,152,18684.0,High-quality widget for industrial use,Asia,2024-09-15
Widget G,60667.31,144,21771.96,Durable widget for heavy machinery,Australia,2024-03-28
Gadget J,26627.76,135,8530.06,High-performance device for enterprise use,South America,2024-08-04
Gadget F,63423.9,157,15283.07,Eco-friendly product for sustainable markets,South America,2024-04-18
Gadget D,68138.97,70,21584.97,High-quality widget for industrial use,Australia,2024-06-13
Widget B,61372.58,194,19012.54,Eco-friendly product for sustainable markets,South America,2024-02-17
Widget D,90447.91,134,35832.17,Reliable widget for everyday applications,South America,2024-07-29
Gadget F,11814.93,174,3399.5,Innovative gadget with AI integration,Australia,2024-03-02
Widget G,55780.5,184,12988.07,Durable widget for heavy machinery,Asia,2024-12-16
Widget B,12436.86,133,2563.7,Durable widget for heavy machinery,South America,2024-01-08
Widget D,31487.83,188,11134.51,Compact device for consumer electronics,Asia,2024-02-12
Widget I,90458.18,100,34807.69,Durable widget for heavy machinery,South America,2024-05-11
Gadget G,15695.74,67,3412.31,Cost-effective solution for small businesses,North America,2024-06-30
Gadget E,27690.02,183,8713.66,Premium gadget with advanced features,South America,2024-11-28
Gadget A,52550.29,198,15543.48,Compact device for consumer electronics,Australia,2024-05-05
Gadget I,11561.49,182,3551.99,High-quality widget for industrial use,Asia,2024-08-21
Widget D,52762.89,171,12149.47,Cost-effective solution for small businesses,Australia,2024-10-26
Widget A,33367.61,156,10025.9,Durable widget for heavy machinery,South America,2024-07-03
Gadget D,20664.14,126,7241.69,High-quality widget for industrial use,Europe,2024-09-23
Widget D,16170.9,132,3863.39,Compact device for consumer electronics,Australia,2024-08-07
Gadget B,57462.27,125,12653.88,Premium gadget with advanced features,Australia,2024-08-29
Widget B,13620.21,198,3261.02,Cost-effective solution for small businesses,Asia,2024-05-02
Widget F,49219.81,152,13976.57,High-performance device for enterprise use,Asia,2024-08-12
Gadget H,80378.06,64,21315.27,Premium gadget with advanced features,Asia,2024-10-17
Widget C,20818.47,61,6882.52,High-performance device for enterprise use,Australia,2024-12-02
Gadget J,18806.75,90,6867.93,Compact device for consumer electronics,Asia,2024-08-19
Gadget J,64333.35,137,24297.34,High-quality widget for industrial use,South America,2024-07-21
Gadget B,43624.64,51,17383.22,Eco-friendly product for sustainable markets,Australia,2024-11-21
Widget I,82796.62,165,16936.08,Durable widget for heavy machinery,Australia,2024-12-08
Widget C,83052.2,190,18103.46,Portable gadget with long battery life,Asia,2024-08-08
Gadget D,95337.17,130,36119.29,Portable gadget with long battery life,South America,2024-06-08
Widget E,27537.47,99,8801.43,High-performance device for enterprise use,North America,2024-07-26
Widget B,76443.98,123,22626.61,Portable gadget with long battery life,Australia,2024-04-27
Gadget E,48032.63,157,19160.98,Compact device for consumer electronics,North America,2024-07-24
Widget B,88590.28,77,21327.68,Cost-effective solution for small businesses,Europe,2024-02-13
Gadget F,84528.16,117,18452.93,Reliable widget for everyday applications,North America,2024-09-04
Widget G,86602.58,120,17772.57,Premium gadget with advanced features,North America,2024-08-05
Gadget F,84220.61,109,32446.76,Reliable widget for everyday applications,Europe,2024-01-14
Widget F,41950.71,200,8676.49,Premium gadget with advanced features,Asia,2024-07-29
Widget C,55543.89,53,20205.06,High-quality widget for industrial use,Europe,2024-04-27
Widget D,79892.15,82,25909.84,Eco-friendly product for sustainable markets,Europe,2024-12-19
Widget E,15088.47,199,5406.32,Eco-friendly product for sustainable markets,Asia,2024-04-05
Gadget C,66363.0,113,24083.55,Eco-friendly product for sustainable markets,Australia,2024-12-24
Widget I,98579.26,74,29117.65,Cost-effective solution for small businesses,Europe,2024-05-20
Gadget J,32918.76,119,8155.96,Innovative gadget with AI integration,South America,2024-04-30
Gadget E,47130.38,139,16280.37,Durable widget for heavy machinery,Australia,2024-03-02
Gadget H,24513.57,70,8498.05,Durable widget for heavy machinery,North America,2024-10-13
Gadget D,59173.99,62,18195.98,Durable widget for heavy machinery,Europe,2024-12-15
Gadget E,70269.8,68,15472.96,Premium gadget with advanced features,Asia,2024-07-12
Gadget D,74769.35,165,22470.29,Reliable widget for everyday applications,Europe,2024-09-09
Gadget B,12970.59,199,3586.79,Portable gadget with long battery life,North America,2024-10-24
Gadget B,25200.04,55,7447.67,Compact device for consumer electronics,Europe,2024-02-21
Widget A,35049.22,80,10926.42,High-quality widget for industrial use,Europe,2024-09-21
Widget J,20703.49,92,8124.94,High-quality widget for industrial use,Australia,2024-02-01
Widget D,62366.58,60,20760.27,High-quality widget for industrial use,North America,2024-10-09
Gadget I,45274.68,113,11798.14,Portable gadget with long battery life,Europe,2024-12-26
Widget I,71558.34,132,20387.97,Premium gadget with advanced features,North America,2024-07-16
Gadget B,19962.62,115,5378.59,Eco-friendly product for sustainable markets,Australia,2024-12-16
Widget G,27032.63,95,8062.19,Reliable widget for everyday applications,South America,2024-05-07
Widget D,97659.44,126,25227.84,Compact device for consumer electronics,Asia,2024-12-20
Gadget H,49484.87,65,15821.92,Reliable widget for everyday applications,South America,2024-11-24
Gadget G,55937.49,176,18889.51,Eco-friendly product for sustainable markets,Europe,2024-01-27
Gadget C,88142.48,79,32077.55,Reliable widget for everyday applications,North America,2024-07-13
Gadget J,31214.44,80,8735.55,Premium gadget with advanced features,Asia,2024-01-29
Widget B,66394.17,196,24916.07,High-performance device for enterprise use,Australia,2024-08-26
Gadget E,12207.1,93,3583.91,Durable widget for heavy machinery,Europe,2024-08-16
Widget G,44589.78,82,11656.83,Durable widget for heavy machinery,Europe,2024-08-08
Widget G,14728.08,78,5577.91,Cost-effective solution for small businesses,Asia,2024-01-24
Widget H,74006.71,77,20012.39,Portable gadget with long battery life,North America,2024-11-24
Gadget C,12691.54,180,3466.19,Portable gadget with long battery life,South America,2024-08-22
Gadget I,19063.86,183,5347.17,Premium gadget with advanced features,Europe,2024-11-22
Widget C,80052.06,59,20524.49,Cost-effective solution for small businesses,Asia,2024-10-24
Gadget I,21930.87,108,6218.75,Durable widget for heavy machinery,Europe,2024-02-08
Gadget C,11975.01,97,4708.13,Reliable widget for everyday applications,Asia,2024-08-12
Gadget A,70309.88,109,18252.1,Premium gadget with advanced features,Europe,2024-11-13
Gadget C,87461.09,94,24233.19,Premium gadget with advanced features,South America,2024-09-27
Gadget G,87414.66,124,25409.69,Cost-effective solution for small businesses,Asia,2024-03-11
Widget E,52183.94,86,15293.91,Cost-effective solution for small businesses,Asia,2024-07-24
Widget H,87412.32,114,32415.93,Compact device for consumer electronics,Australia,2024-01-02
Widget I,98883.41,61,34182.65,Reliable widget for everyday applications,North America,2024-04-04
Gadget E,40143.23,172,10139.59,Durable widget for heavy machinery,South America,2024-09-04
Widget G,61845.36,70,20723.11,Eco-friendly product for sustainable markets,Europe,2024-06-17
Gadget C,40897.94,86,15991.08,Premium gadget with advanced features,Australia,2024-04-08
Widget C,94363.18,196,21426.37,High-performance device for enterprise use,Asia,2024-10-03
Widget G,56327.07,95,22393.62,High-quality widget for industrial use,Australia,2024-10-09
Widget C,14126.37,77,3554.88,Portable gadget with long battery life,Asia,2024-09-27
Widget F,45101.19,150,12269.4,Cost-effective solution for small businesses,Europe,2024-10-05
Widget A,16571.58,167,5957.15,Portable gadget with long battery life,Asia,2024-03-18
Widget G,28175.38,64,11152.83,Premium gadget with advanced features,Asia,2024-02-15
Widget C,84880.85,137,22712.56,Cost-effective solution for small businesses,South America,2024-12-18
Gadget E,88542.39,106,22177.15,Portable gadget with long battery life,Australia,2024-05-01
Widget D,36214.33,170,10701.0,Durable widget for heavy machinery,North America,2024-05-02
Gadget D,93436.55,198,19218.36,Cost-effective solution for small businesses,Europe,2024-10-06
Gadget F,69620.61,79,27372.72,Innovative gadget with AI integration,North America,2024-07-29
Widget A,47116.65,120,12625.74,Durable widget for heavy machinery,Australia,2024-05-21
Widget C,84126.6,176,19257.29,Durable widget for heavy machinery,Europe,2024-11-17
Gadget G,84341.29,66,25251.93,Cost-effective solution for small businesses,Europe,2024-01-10
Widget H,97532.09,92,21597.05,Compact device for consumer electronics,South America,2024-03-22
Widget B,91357.78,112,19121.93,Cost-effective solution for small businesses,Asia,2024-03-13
Widget D,10687.88,144,4108.7,Eco-friendly product for sustainable markets,Europe,2024-11-29
Widget F,30638.66,88,9698.85,Eco-friendly product for sustainable markets,Europe,2024-05-24
Gadget E,83074.71,51,31197.8,Cost-effective solution for small businesses,Asia,2024-12-18
Widget E,11315.05,109,2922.3,Compact device for consumer electronics,North America,2024-03-07
Widget C,25770.31,95,6746.21,High-quality widget for industrial use,North America,2024-09-11
Gadget I,21645.47,120,7282.22,Premium gadget with advanced features,North America,2024-02-11
Gadget F,17673.35,120,4376.04,Eco-friendly product for sustainable markets,Europe,2024-08-10
Gadget E,65969.8,167,13935.53,Premium gadget with advanced features,South America,2024-09-18
Widget F,61598.88,102,12708.23,Eco-friendly product for sustainable markets,North America,2024-02-25
Widget F,22914.48,83,6312.62,High-performance device for enterprise use,South America,2024-04-21
Widget B,43742.18,170,12703.84,High-quality widget for industrial use,North America,2024-09-09
Widget J,90217.63,80,29356.79,High-performance device for enterprise use,Asia,2024-07-16
Gadget H,36434.26,61,9178.27,Reliable widget for everyday applications,Australia,2024-07-19
Widget C,55089.03,75,21044.88,Innovative gadget with AI integration,Australia,2024-01-03
Widget C,63411.35,164,19859.59,Portable gadget with long battery life,Europe,2024-12-11
Gadget I,24269.38,115,7464.11,Portable gadget with long battery life,South America,2024-06-02
Widget H,67955.1,87,22737.51,Durable widget for heavy machinery,South America,2024-06-26
Gadget I,19230.34,180,4516.13,Durable widget for heavy machinery,Australia,2024-09-12
Gadget J,60251.41,81,13675.94,High-quality widget for industrial use,Asia,2024-08-21
Widget E,39839.03,144,9350.97,Cost-effective solution for small businesses,South America,2024-07-31
Gadget G,72324.54,132,24700.64,Compact device for consumer electronics,Europe,2024-04-30
Widget C,86693.38,149,23124.63,Compact device for consumer electronics,Europe,2024-10-31
Widget B,61999.05,85,13052.21,Reliable widget for everyday applications,Europe,2024-04-10
Gadget F,15673.41,123,3684.63,Compact device for consumer electronics,Europe,2024-03-29
Gadget A,70077.97,90,14306.19,Cost-effective solution for small businesses,South America,2024-11-26
Gadget I,70126.9,128,16193.01,Innovative gadget with AI integration,North America,2024-01-12
Widget F,56686.96,183,17354.34,Eco-friendly product for sustainable markets,South America,2024-01-31
Gadget J,80731.79,175,27212.17,Eco-friendly product for sustainable markets,Asia,2024-05-15
Widget B,59390.15,190,23675.36,Premium gadget with advanced features,North America,2024-02-20
Widget F,99044.62,115,38679.64,Eco-friendly product for sustainable markets,Europe,2024-06-20
Widget J,88376.47,166,33348.91,Eco-friendly product for sustainable markets,Asia,2024-05-27
Widget A,13648.5,71,3654.84,Eco-friendly product for sustainable markets,South America,2024-03-20
Gadget F,56120.03,92,19812.25,Innovative gadget with AI integration,Asia,2024-08-08
Widget D,98703.62,192,28499.68,Compact device for consumer electronics,North America,2024-09-11
Widget E,86123.71,154,21265.95,Reliable widget for everyday applications,North America,2024-06-20
Widget C,23658.41,76,8778.89,Reliable widget for everyday applications,Asia,2024-05-10
Widget C,76458.28,152,28194.38,Compact device for consumer electronics,Europe,2024-09-07
Widget B,20387.38,153,4875.54,Premium gadget with advanced features,Europe,2024-03-30
Gadget F,83417.99,63,31588.3,Durable widget for heavy machinery,North America,2024-07-24
Widget G,42326.65,83,10279.14,High-performance device for enterprise use,Europe,2024-02-23
Widget B,90964.41,188,19395.27,Portable gadget with long battery life,Europe,2024-12-29
Gadget B,39380.95,129,12020.88,Portable gadget with long battery life,Europe,2024-02-02
Widget J,28949.06,196,10778.35,Eco-friendly product for sustainable markets,Europe,2024-09-11
Widget F,33841.88,194,10436.72,Portable gadget with long battery life,Australia,2024-01-09
Widget I,40264.91,80,12542.99,High-quality widget for industrial use,North America,2024-12-18
Widget C,57091.93,107,20697.35,Innovative gadget with AI integration,Australia,2024-01-13
Widget D,87600.46,143,23770.39,Compact device for consumer electronics,South America,2024-09-06
Widget B,16267.54,154,5680.74,Innovative gadget with AI integration,Australia,2024-01-25
Gadget J,94295.26,196,24474.79,Portable gadget with long battery life,North America,2024-08-03
Gadget D,47693.59,193,12230.7,Compact device for consumer electronics,North America,2024-09-29
Gadget D,56513.24,139,11550.22,Innovative gadget with AI integration,Europe,2024-03-04
Gadget D,21343.12,117,4294.26,Portable gadget with long battery life,Australia,2024-07-19
Widget H,63836.8,121,13589.39,High-quality widget for industrial use,North America,2024-04-16
Gadget J,26209.23,97,10448.06,Durable widget for heavy machinery,Europe,2024-09-21
Widget J,96635.75,200,26554.13,Reliable widget for everyday applications,South America,2024-11-24
Widget C,61392.33,183,22102.39,Eco-friendly product for sustainable markets,Australia,2024-07-10
Widget I,46460.05,129,14806.03,High-performance device for enterprise use,North America,2024-03-29
Widget H,29939.04,83,9952.66,High-performance device for enterprise use,North America,2024-11-27
Gadget I,13481.3,172,2798.31,Portable gadget with long battery life,Europe,2024-05-02
Widget F,86041.21,192,17528.8,High-performance device for enterprise use,Europe,2024-07-23
Widget C,89326.92,178,32281.33,Portable gadget with long battery life,Asia,2024-05-08
Gadget G,76261.97,196,23768.51,Cost-effective solution for small businesses,North America,2024-08-11
Gadget D,61087.29,60,13530.02,High-quality widget for industrial use,North America,2024-06-15
Widget D,33605.33,140,10111.93,Portable gadget with long battery life,South America,2024-03-25
Widget G,95268.52,73,37472.68,Innovative gadget with AI integration,North America,2024-10-15
Widget C,88640.33,181,29424.44,Portable gadget with long battery life,South America,2024-02-07
Widget B,82179.98,88,27188.59,Portable gadget with long battery life,North America,2024-01-07
Gadget E,66106.27,122,18621.21,Reliable widget for everyday applications,Australia,2024-08-29
Gadget H,99166.06,89,35974.78,Portable gadget with long battery life,Asia,2024-08-06
Widget C,78046.99,55,23987.25,Eco-friendly product for sustainable markets,South America,2024-06-23
Widget F,86290.33,148,27804.59,Portable gadget with long battery life,Europe,2024-10-01
Widget I,82762.66,177,27603.77,Eco-friendly product for sustainable markets,Australia,2024-09-26
Widget A,81764.94,118,31637.87,High-quality widget for industrial use,North America,2024-07-22
Gadget I,19376.81,161,5703.88,High-quality widget for industrial use,Australia,2024-06-26
Gadget H,29434.78,162,10065.25,High-quality widget for industrial use,North America,2024-07-21
Gadget E,58060.07,54,19853.15,Portable gadget with long battery life,Australia,2024-06-20
Widget A,50799.08,151,15088.41,Compact device for consumer electronics,Asia,2024-11-27
Gadget A,92320.98,113,27358.84,Cost-effective solution for small businesses,Asia,2024-06-11
Widget F,17835.73,130,6148.4,High-performance device for enterprise use,Europe,2024-08-22
Gadget D,73952.57,57,22677.71,Portable gadget with long battery life,Australia,2024-11-24
Gadget I,40944.68,151,12751.32,Reliable widget for everyday applications,South America,2024-12-11
Gadget J,68828.22,127,17853.27,Innovative gadget with AI integration,Europe,2024-07-29
Widget F,68306.05,183,21323.04,Premium gadget with advanced features,North America,2024-05-12
Gadget F,97499.86,145,23675.41,High-quality widget for industrial use,South America,2024-01-02
Gadget C,63895.14,105,24042.67,High-performance device for enterprise use,Europe,2024-06-24
Gadget B,93073.39,162,28788.94,Eco-friendly product for sustainable markets,Australia,2024-10-11
